Propozitie,Total Cuvinte,Strict RU (Code-switch),OOV (Necunoscute),Lista RU,Lista OOV
"Облазила центр, навіть в гей-барі було не ок.",7,1,0,ок,
заюзала у  афігєнний салатовий лак. настрій одразу вгору пішов),9,0,2,,"заюзала, афігєнний"
"люблю ті смс, які починаються на ""о 6 в дзизі""",9,1,0,смс,
Посвітив твітером з екрану телесика в темній залі серед десятків інших вогників на ліричній композиції Ілюзій..,16,0,1,,твітером
"Тягне відповісти щось між Ай віш ай куд і Сорі,  хев терібл муд.",13,0,6,,"віш, куд, Сорі, хев, терібл, муд"
Чому Джек не здох?!Пару раз йокнуло.,7,0,1,,йокнуло
"Не знаю із-за чого, но настроєнія якесь хріноватіньке((",7,0,2,,"настроєнія, хріноватіньке"
"Слухаю ""Думаю про тебе"" в навушниках, лежу обоиччям в подушку.",10,0,1,,обоиччям
"Я думала, що можна обмежитися тупарилими фотками в інста і снепчаті.",11,1,3,фотками,"тупарилими, інста, снепчаті"
"Стою мию посуд під те, як Редкліф читає репчік:DD Мені пороблено:ззз",12,0,3,,"Редкліф, репчік, ззз"
"Блін блін блін Саша, Аня, пам'ятаєте?",5,0,3,,"Блін, блін, блін"
"А під ""Пора домой"" дуже круто бігається,особливо коли її тобі наспівує твій тренер)",14,1,1,домой,бігається
"Повіяло теплом з-за кордону, а одже неодмінно летіти.Не обіцяй,навіщо?",8,0,1,,одже
Чудову і прекрасну  треба сьогодні вітати з ДН!,8,0,1,,ДН
Бо я макдо люблю тут найбільше серед усіх!!!,8,0,1,,макдо
"Мало того, що стєпуха якогось хера не повишена прийшла, так ше й на 100грн менша, ніж звичайна(",16,1,3,хера,"стєпуха, повишена, ше"
"У моїй сумці книга Михайла Пантича про любов, яблуко і фляга з віскі.",13,0,1,,Пантича
"Плох той твіттерянин, який не мріє стати (десяти)тисячником.",9,1,1,Плох,твіттерянин
"моє улюблене виправдання: ""це було на демотиваторі вконтактє"".",8,0,1,,вконтактє
"Євріт-це не запалиння єврея, це їхня мова.",6,0,1,,запалиння
"преміум акаунт грамарлі каже мені шо ""linguistic problems"" це unusual word pair ну рєбят...",9,1,2,шо,"грамарлі, рєбят"
"ну про хамство ти ніц не казала, ти казала що вони недостатньо швидко (на твою думку) роблять свою роботу",19,0,1,,ніц
"Справжнє усвідомлення того, що ти буха, настає тоді, коли ти розумієш, що замовила костюмчик покоївки та батіг.",17,2,0,"буха, костюмчик",
"Мене теж часом тяне написати про себе не ""я"", а ""Лесюня"".",11,0,2,,"тяне, Лесюня"
"Не кИдаю тебе у стіну, не викидАю через вікна геть #лв",11,0,1,,лв
а я вам казала що люблю танцювати? я дуууууже люблю танцювати :),11,0,1,,дуууууже
Можна шутити типу 45-45 баба ягодка опять?,6,2,1,"ягодка, опять",шутити
"Шакопов Олег, сподіваюся тобі її повернуть.",6,0,1,,Шакопов
"блін, знав би на піцу ше зайшов",7,0,2,,"блін, ше"
"І типу кажуть, шо все ок, але блін...",8,2,1,"шо, ок",блін
блін:( а так би круто було!,6,0,1,,блін
"просто рахуй, що я - твоя серветочка, якій можна поплакати і понити, я завжди вислухаю с:",15,0,1,,серветочка
"#успєх До речі, #раджу усім, хто #ТвіттерБігає фолловити цей мега-аккаунт #ff_ua #ff",9,0,3,,"успєх, ТвіттерБігає, фолловити"
Вангую таку тему у найближчі дні.,6,0,1,,Вангую
"Трохи фігово, але все ж щось)",6,0,1,,фігово
"КОСТИКУ, БУДУ У ЛЬВОВІ ЗАВТРА З 12:00 ДО 20:00 (приблизно) мімімі",9,0,1,,мімімі
"Ем в дофіга універах, де повний безпрєдєл",7,1,3,Ем,"дофіга, універах, безпрєдєл"
Ой в тві маніхейством попахує.,5,0,1,,попахує
"У мене є Віттонівська сумка - справжня, не підробка.",8,0,1,,Віттонівська
Чекін на відкритті виставки Юрій Змієборець і святі воїни,9,0,1,,Чекін
"Кароч, ви не повірите, але я тут рахуюся за хіпстера.",10,0,2,,"Кароч, хіпстера"
Планую просто почати плакати в примірочних через то шо купа класних речей на мене тупо велика.,16,1,0,шо,
"Вшарюю, що в неї є ті, хто їй більше подобається.",10,0,1,,Вшарюю
"Прочитати пвд від надзвичайно близької людини, з якою дуже давно не спілкувався.",12,0,1,,пвд
яблучно-горіховий штрудель від Журби - кращі ліки від недільної хандри,8,1,0,штрудель,
"З Каламойським опускати б країну на гроші, бьіть патрівотом!",9,0,3,,"Каламойським, бьіть, патрівотом"
"RT  Папая, кая і маракуя #np the Вйо - Їдемо в карпати",8,1,0,маракуя,
"Не встигаю банити читачів, які вскриваються під ""марш"" Сцакашвілі.",9,0,3,,"банити, вскриваються, Сцакашвілі"
"ну в мене у руках журнал обліку поточної роботи викладача, суворо аббревіатурка звучить, хоча задатки уже є)))",17,0,1,,аббревіатурка
Я не можу не заінстаграмити цю малючку-з-книжки-носова.,6,0,1,,заінстаграмити
"Я один не шарю, якого хєра щотижня в світових трендах твіттера - Джастін Бібер?",13,0,3,,"хєра, твіттера, Бібер"
"Нє, карочє, блін, ти не понімаєш, куда, цей во.",9,1,4,куда,"Нє, карочє, блін, понімаєш"
"та, з роками не розумнішаєш ні разу.  далі наступаєш на ті самі граблі, далі відрізаєш сама собі чілку)))",18,0,1,,чілку
"Якшо взяла трубку - у вас праблєми, гаспада.",7,0,3,,"Якшо, праблєми, гаспада"
"Мене всерйоз заграли люди, які сидять на диванах перед компами і все критикують, бо все, блін, знають.",17,1,1,компами,блін
"блін, чого ніхто не сказав мені цього на початку травня, коли я зв'язалась з одним",14,0,1,,блін
#Одеса вулиця підписана трьома назвами: з імперським гербом - Новорибна з радянським - Чижикова біля тризуба - сучасна назва,16,0,1,,Новорибна
Кароч дуже ок дивитись засідання київради хоча б один раз.,10,1,1,ок,Кароч
"Вiн ворог був, менi його не шкода.	0
старі добрі розваги, написати фігню, а потім шукати який саме з кусків твого коду робить фігню))) Я сам такий))))	0
охохо, багато таких))) а стільки в мене блоків1 ого-го!)))	0
в селі благодійна барахолка на користь біженців - люди серед іншого винесли шапку-будьоновку справжню, з Києва"".",45,0,1,,охохо
"одного разу вона приходить до злобного блізнєца, а там муж її. і кароч вони тіпа вбити її обоє хотіли.",19,0,3,,"блізнєца, кароч, тіпа"
А може і м’яса їсти не треба?,8,1,0,яса,
"До фул хауза бракує національної міліції, національних бригад і національних карабінерів.",11,0,2,,"фул, хауза"
"Вона пише, що думає, і не париться, що її анфоловлять, коли вона роздає гімна тим, хто його заслужив.",18,0,2,,"анфоловлять, гімна"
Поки всі не почали хейтити  скажу що мені подобається.,9,0,1,,хейтити
Щоб блюванути на холостяка в першій програмі і набрати потім мільйон переглядів на ютубі?..),14,0,2,,"блюванути, ютубі"
"От якось їм,і облизуюсь від його смаку)Божественноо",9,0,1,,Божественноо
"Той самой момент, коли реальний корупціонер Мосійчук дає коментарі людяніше і _можливо_ чесніше ніж маладой антикурвапціоньєр Лєщєнко.",16,1,3,самой,"маладой, антикурвапціоньєр, Лєщєнко"
"Власне мене постійно ""німєдліна вьійді вон іс класа!""",8,1,4,вон,"німєдліна, вьійді, іс, класа"
"я посередині, Ната справа, Маша зліва.",6,0,1,,Ната
Курвбль щяс під соточку завалиться ой вей.,7,1,3,вей,"Курвбль, щяс, соточку"
"Що вже казати про фігуру, якщо хвалю себе, коли з'їдаю лише півкоробки цукерок за раз, а не всю...",17,0,1,,півкоробки
"в етнодім є чудові чоловічі, особливо чорні і темносині, дарувала - якістю задоволені",12,0,2,,"етнодім, темносині"
"ооооо, чудова пісня. мабуть найулюбленіша зараз)",6,0,1,,ооооо
Так фігово мені вже давно не було.,7,0,1,,фігово
*я коли читаю твої твіти то уявляю тебе в шапці з великим балабоном. шось тра з цим робить.,18,0,3,,"твіти, шось, тра"
"Ще засранцем був, то в Лілеї тусили. :)",7,1,1,засранцем,тусили
П'ю гаспачо і відчуваю себе героїнею фільму Альмодовару.,9,1,1,П,ю
"Попри погоду,універ і скривлене обличчя власника Simple замість вітання зі мною,настрій досить життєрадісний.",14,0,1,,універ
"Чувак праворуч від мене натхненно пише вірш до блокноти, тьолка попереду дує губи та сварить свого мужика ні за що.",20,0,1,,тьолка
"Здається, у колишнього погладшало обличчя АХАХАХА",6,0,1,,АХАХАХА
"Зрозуміла, що ніщєброд, коли знайшла 50 гривень в шафі й раділа, як дитина.",12,0,1,,ніщєброд
Але каразіна то такий мрак сам по собі.,8,1,0,мрак,
"Момент, коли взнаєш, шо однокласник одружився.",6,1,0,шо,
таня ти сьодні така гарна. на викладачку похожа.,8,0,1,,сьодні
Всі оголошення в Хюндаї робляться українською і англійською мовами.,9,0,1,,Хюндаї
"аммм, як смашно передане.. але замість ретвітити йду на кухню..",10,0,3,,"аммм, смашно, ретвітити"
"та. той самий тублєр, там навіть ті баби на тумблєрі лежать)",11,0,2,,"тублєр, тумблєрі"
"Жостко  Я всього навсього в короткій спідниці вночі в жопі дарницького району  Купа наркоманів, трохи насільніків та тихий ліс)",19,0,4,,"Жостко, навсього, жопі, насільніків"
"Ай, ну всьо нафіг, піду обжерусь чимось смачненьким",8,0,1,,всьо
А як замужня женщіна кинула то #ойвсьо)),7,0,2,,"женщіна, ойвсьо"
"так я не п'ю її щоб не спати...вона на мене так майже не діє)), а п'ю бо люблю)))",21,2,2,"п, п","ю, ю"
"О чуєш,  з днем народження тебе, бро!",7,0,1,,бро
"там Заноз тобі вже сказав) нє, ясно, шо діло благородне. і тема крута. але мені не по кишені.",18,1,1,шо,нє
"Питаю, що вона про це думає, вона: - я не поняла, а ким ти потім будеш?",15,1,0,поняла,
Моя фотка в пабліку про Субару зібрала найбільше лайків.,9,1,3,фотка,"пабліку, Субару, лайків"
"Аааааа, рєбята, Реал - ПСЖ в 1/8, ну і лігочемпіонівське класіко: Челсі - Барса",11,0,5,,"Аааааа, рєбята, ПСЖ, лігочемпіонівське, класіко"
"Коли бачу як туристи їдять вуличний аджарський хачапурі, серце кров‘ю обливається, то ж таке гееее.",16,0,2,,"ю, гееее"
Батьків та улюблену команду не обирають #fcdk #жизньболь,7,0,1,,жизньболь
ЦЯ ЖЕНЩІНА ЩЕ НЕ В ТАКІ ДЄБРІ ЗАВЕДЕ,8,0,2,,"ЖЕНЩІНА, ДЄБРІ"
"Нііііі, я люблю їсти всяку хімічну бяку С:",8,0,1,,Нііііі
Мажем волоссячко олійками спокійно.А через годину оп- вода крижана.,7,0,1,,олійками
"Ааа, як вони так швидко зникли?",6,1,0,Ааа,
"Не витримала котячих ""шалостєй"" і замочила його.",7,0,1,,шалостєй
"-ти в рівному?  -так, якраз про тебе сьогодні думала)  -Поїхали десь кататись? -зараз? хештег люблюдаринку",11,1,1,хештег,люблюдаринку
RT : [блог]: Твіттер - то є любов! v2.0,5,0,1,,Твіттер
"відробиш ретвітами постів з блогу, якшо вони будуть :D",8,0,2,,"ретвітами, якшо"
Є у женщіни традиція - раз на півроку їсти пельменчики.,9,0,2,,"женщіни, пельменчики"
"RT   збери улюблених твіттерян, зачекінтеся всі десь разом та накорміть справжніх цвіркунів (пташок) ;)",12,0,3,,"твіттерян, зачекінтеся, накорміть"
"Ти, ясна річ, можеш мені це розповідати.	0
Написав твіт від фанаря: +100500 лайків.	0
Сємьончєнко хоче завтра відбити рєдут"" назад.",18,0,5,,"твіт, фанаря, лайків, Сємьончєнко, рєдут"
"Спочатку Танці з зірками тепеп Хфактор,камон люди,вирубіть той телик або припиніть твітити про це...",16,1,5,телик,"тепеп, Хфактор, камон, вирубіть, твітити"
У мене в стрічці під якимось з останніх твітів.,9,0,1,,твітів
Щойно антивірус новенькому на моб написав: - У вас проблемы!,9,1,1,проблемы,моб
"А наступного дня був кавйор,  і яблуко :D #ifykwim",7,0,1,,кавйор
"це ж гавнодальдс, та хiма може бути щось приємне?)))",8,0,1,,гавнодальдс
"Так харить фраза ""Усіх грошей на той світ не візьмеш"".",10,0,1,,харить
Втикати втіхаря на роботі на фоточки мордочки - мотивує до плідного робочого дня.,12,0,2,,"втіхаря, фоточки"
Ніхто не хоче поштрикати в мене голкою?,7,0,1,,поштрикати
"У мене в квартирі такий срач, а я сиджу і нию за хлопцем.",13,1,0,срач,
І я також підсміхуюся у вус,6,0,1,,підсміхуюся
І знаєте шо? нафіг таку романтику!,6,1,0,шо,
"У Києві #львівінг - снігу вище коліна, нагрібла повні чоботи.",9,0,2,,"львівінг, нагрібла"
"Дивлюсь ""Как приручить дракона 2"" і розумію, що мультики вже давно роблять не для дітей.",14,1,0,Как,
"Подивилася на верх і така жуючи: ага, ну блін, мені тут вже нра (нє).",14,0,3,,"блін, нра, нє"
"не обіцяю, хоча спеціально на такі випадки завів професійний бложик  //",10,1,0,бложик,
"Горотдьські, харош вітписуватьця!Ви чо?Страх божий потірали?",8,1,4,чо,"Горотдьські, харош, вітписуватьця, потірали"
Я вділа улюблену косуху і мені в Ніцше харааааашооо,9,1,1,косуху,харааааашооо
а я з Литвиновою люблю їх в'ю.,8,0,1,,ю
"Ставь ліжко там, де спить кіт.",6,1,0,Ставь,
Святково тут) (@ Управління СБУ у Львівській обл.) http://4,7,1,0,обл,
"Порадьте якийсь односерійний , але офігенний, пліз",6,0,2,,"офігенний, пліз"
"На сім заявляю, що свій ліміт срачів з приводу ""Оскарів"" вичерпала.",11,0,1,,срачів
"Нє ровєн час, так і до квартир маладьіх, з хорошьім корінням діло дойде.",13,0,5,,"Нє, ровєн, маладьіх, хорошьім, дойде"
"Люблю, коли дев'ятикласники лайкають твіти про секс.",6,0,2,,"лайкають, твіти"
"От жеш кіт гамнистий!Тіки піднімеш сраку зі стільця,як він вже там!",13,0,3,,"жеш, гамнистий, Тіки"
"Типу, пофіг, шо спалили сміття на подвір""ї і зачаділи усе.",11,1,3,шо,"пофіг, подвір, ї"
Жарти про суіцид - це сучасний спосіб виживання.,7,0,1,,суіцид
Найкращою валютою для маняреспублік були б кришечки від Балтики.,9,0,1,,маняреспублік
Ще 2 офігенних мужиків запросило на каву...,6,0,1,,офігенних
"Там чекають мої два жиробасіка, а не вот ета вот всьо",11,3,2,"вот, ета, вот","жиробасіка, всьо"
"Погоджусь про матрац,але діло не лише в зручності.Як на мене,на піддонах це якийсь бомж-стайл чи шо.",16,1,0,шо,
"І хоча тут зовсім інше, але ж блін десь друкується вся політична муть,  всі ці поздоровлення депів і тд",19,1,3,муть,"блін, депів, тд"
Люблю робити всяку дич із своїми селфі.,7,0,2,,"дич, селфі"
блендер чи мультиварка? ось в чому питання,7,1,1,блендер,мультиварка
Шо ж так важко це запам'ятати ?,5,1,0,Шо,
"мій айпед міні, кому уже 3 роки, відмовляється підтримувати курсеру без оновлення ios. скажіть, він помре, якщо я оновлю?",17,0,2,,"айпед, курсеру"
"Їх так дофіга розвелось,що аж бісить)",7,0,1,,дофіга
"Впала в підліткізм, ходжу по вєчєрінках в перебираю мужиками.",9,0,2,,"підліткізм, вєчєрінках"
"Виклади в інсту фотку з купою таблеток і пафосною цитатою, щоб всі бачили, яка ж ти нещасна Лулз",18,1,2,фотку,"інсту, Лулз"
А ще хочу ноги щоб м’язи вилізали і жопку велику.,11,1,1,язи,жопку
В мене фетиш на ноутбучні клави,6,0,2,,"ноутбучні, клави"
"ой снігу, снігу білого насипало сповна ^^ яцелюблю!!! а ви взувайтеся нормально, одягайтеся тепленько і не нийте ;)",16,0,1,,яцелюблю
"Повторюю - інфа про ""трупи"" - деза!",5,0,1,,інфа
"Коли рівень зайобаності словами передати неможливо, в поміч ідуть пісні.",10,0,1,,зайобаності
Він тікав від мене по  білясільському узбіччі траси.,8,0,1,,білясільському
Без намордника випускати за двері ніц неможна.,7,0,1,,ніц
Аж блистять))) Ще й муха не сиділа))) #petanque,7,0,1,,блистять
"Улюблені ласощі дитинства - червонобурячковий домашній сиропчик від кашлю) вирізати, засипати цукор, поставити в телле місце, щоб розтанув",17,0,3,,"червонобурячковий, сиропчик, телле"
"блін, без ком я не вшарила))",6,0,2,,"блін, вшарила"
"Стрічко,я йду читати Костенко і навряд вже зайду) Тому всім гарних снів;D #Люблювас <3 #міцно_обіймаю :3",14,0,1,,Люблювас
"До речі, у 99% власники дякують за конструктивний фідбек і дуже позитивно реагують.",12,0,1,,фідбек
Мої улюблені алітерації — зі звуком ч.,6,1,0,ч,
"мир та спокій було б ок. Але я люблю, коли тебе багато тут)",13,1,0,ок,
"І я) Бо вони зазвичай такі милі, добрі, казкові, а я люблю щось пожостче)",14,0,1,,пожостче
"Люблю маму, за мінєралку на утро після бухача",8,1,2,утро,"мінєралку, бухача"
"Тьоті, якщо вже носите відкрите взуття, спроможіться зробити педікюр!",9,0,1,,педікюр
"Вау!) яка ти гарна!  і сукня, і фігура просто бомба!)",10,1,0,Вау,
"а раніше ти хотіла працювати у бібліотеці. відразу видно, шо дєвачка павзраслєла",12,1,2,шо,"дєвачка, павзраслєла"
"буде дивно, якщо скажу, що вчора я сміялась без перестанку близько 2,5 годин, гуляючи по кладовищу?",15,0,1,,перестанку
ну да. в нас люблять скривджених і змучених,8,1,0,да,
"ПРОТЕ, дивлбсь тіп в такт хитає головою.",7,0,1,,дивлбсь
Найбільшим визнанням своїх статусів у фб вважаю лайк від мого улюбленого викладача.,12,1,1,лайк,фб
"Городцькі, ану зізнавайтеся, шо зара робите посеред робочого дьня?",9,2,2,"шо, зара","Городцькі, дьня"
"Шойт, шовдер, пікниця куплені, яйця пофарбовані  #Пасханаближається",7,0,4,,"Шойт, шовдер, пікниця, Пасханаближається"
"Якшо людині самій на себе пофіг, то як би ти не старалась, нічого не вдієш.",15,0,2,,"Якшо, пофіг"
"я так поняла з фб, що поневіряння репортажу Шабловського про Волинь завершились.",12,1,2,поняла,"фб, Шабловського"
"Цього року на НР, я буду абсолютно і повністю сама.",10,0,1,,НР
"Далі відчуття того, що мене намахують.",6,0,1,,намахують
Барига палить обличчя на фото гарної якості в тві  Я в шоковє,12,0,1,,шоковє
Мене так само оце спочатку трухануло.,6,0,1,,трухануло
А вони пробасять гундявими...,4,0,1,,гундявими
"всього потроху.це писанина не для твітора.це треба опус в блог,а мені впадло і зачєм. але кореляція є,да",17,1,2,да,"впадло, зачєм"
"Інформнапалм на основі робіт Andriy Yermolenko зробили коротке відео, яке точно зіпсує святкову атмосферу ЧС 2018.",13,0,1,,Інформнапалм
"під настрій, одна з улюблених пісень від БГггг) - Егор Летов ЭЛЕКТРИЧЕСКИЙ ПЁС Борис Гребенщиков:  #твіпанк з",16,4,2,"Егор, Летов, ЭЛЕКТРИЧЕСКИЙ, ПЁС","БГггг, твіпанк"
"Антоша і шуточкі,Касік,з найпрекраснішою посмішкою,Мир,що хазяйнує в переповненому Сквоті,команда Крапки з теплими обіймами і друзі поруч",21,0,4,,"Антоша, шуточкі, Касік, Сквоті"
Зараз ми живемо у сучасній легенді про Вавілонську вежу.,9,0,1,,Вавілонську
"Ва ізбєжанія громкіх риданій і пріступав депресії, рєкамєндуєца нє захадіть нєфєстівальщікам в Твиттор в ближайшие 5 днєй.",16,1,11,ближайшие,"Ва, ізбєжанія, громкіх, риданій, пріступав, рєкамєндуєца, нє, захадіть, нєфєстівальщікам, Твиттор, днєй"
"Вона ідеально підходить до концепту мого мікроблогу - ""шо віжу, о том пою"" тві-бешкетник ага :)",13,1,1,шо,віжу
і я вже люблю твоїх дєдушок :),6,0,1,,дєдушок
"Вилізло з якихось глибин підсвідомого, як колишній муж бичив за те, що я постійно зайнята.",15,0,1,,бичив
Талалай сьогодні тіп #хазяюшка  Роблю печену картопельку :з  #омномном,9,0,2,,"хазяюшка, омномном"
"Оригінальна ідея, люблю коли на столику під склом щось цікаве є порозглядати",12,0,1,,порозглядати
"Кум Путіна Медведчук у нас володіє 5% акцій ""Нафтогазвидобування"".",8,0,1,,Нафтогазвидобування
"Люди, які роблять скріни твітів, кидають їх потім комусь іншому аби пообговорювати - на здоров‘я.",15,0,3,,"скріни, твітів, пообговорювати"
На бєбущку Йулю вся надія.,5,0,2,,"бєбущку, Йулю"
вже тиждень не можу змусити себе дописати в бложик пост про Рим. лінива срака,14,1,0,бложик,
"Хріново, коли ти задихаєшся уві сні, а прокинувшись лице горить, люблю алергію, чьо.",13,0,2,,"Хріново, чьо"
І піти вибачитись та цяю папіть.,6,0,2,,"цяю, папіть"
"Та я то знаю) То для підстраховки, бо судячи з моїх приблизних результатів держ.місця в універі мені не бачити)",18,0,2,,"підстраховки, універі"
Анонсували HTC One Nexus experience і в мене зʼявилася невелика сверблячка :),7,0,1,,зʼявилася
"Називала пацана Нікіта, бо мені не подобалось його справжнє ім‘я.",11,0,1,,ім
"Далі – пошукайте про Боярчука яку небуть інфу (це директор цієї шарашки, що робила оналєз) особливо пошукайте біографію.",17,1,3,шарашки,"небуть, інфу, оналєз"
"буду лінк на цей твій твіт тулити до всіх своїх, бо маю тупо таку саму проблему)))",16,0,2,,"лінк, твіт"
"Зайшла до магазину, тільки щоб зашазамити пісню.",7,0,1,,зашазамити
